angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0146354,-0.334606,4.93596,-4.15528E-5,942.478,7.34119,7.47302,7.85144,8.54151,9.68439,11.579,14.9351,21.8115,40.9923,200.0,20.3706,10.3817,7.16408,5.60541,4.72359,4.19235,3.87476,3.70703,3.66003,1.0,0.0,0.0,1
0.0146125,-0.334806,5.31459,0.00195737,942.478,7.34216,7.47412,7.85267,8.54286,9.68567,11.5805,14.9368,21.8126,40.9927,200.0,20.3693,10.3795,7.16239,5.60394,4.7223,4.19131,3.87366,3.70593,3.65881,1.0,0.0,0.0,1
0.0145686,-0.335005,5.69328,2.64345E-5,942.478,7.34326,7.4751,7.85353,8.54383,9.68678,11.5816,14.9378,21.8124,40.9875,200.0,20.3688,10.3777,7.16088,5.60281,4.72098,4.19011,3.87268,3.70483,3.65796,1.0,0.0,0.0,1
0.0145486,-0.33505,6.07201,-0.00164655,942.478,7.34351,7.47546,7.8537,8.544,9.68678,11.5816,14.9372,21.8111,40.9824,200.0,20.3726,10.3778,7.16027,5.60251,4.72094,4.1898,3.87244,3.70471,3.65771,1.0,0.0,0.0,1
0.0145472,-0.335028,6.45083,-4.39866E-5,942.478,7.34338,7.47522,7.85362,8.54386,9.68663,11.5813,14.9368,21.8087,40.9806,200.0,20.3744,10.3782,7.16091,5.60253,4.72089,4.18994,3.87244,3.70471,3.65771,1.0,0.0,0.0,1
0.0145186,-0.335028,6.8297,0.0014102,942.478,7.34338,7.47525,7.85345,8.54364,9.68666,11.5808,14.9358,21.8062,40.9728,200.0,20.3803,10.3792,7.16112,5.60282,4.72117,4.19001,3.87256,3.70483,3.65771,1.0,0.0,0.0,1
0.014469,-0.33505,7.20857,6.65446E-5,942.478,7.34351,7.47532,7.85359,8.5436,9.68613,11.5804,14.9351,21.803,40.9611,200.0,20.3877,10.3798,7.16147,5.60287,4.72101,4.18988,3.87256,3.70471,3.65759,1.0,0.0,0.0,1
0.0144442,-0.335094,7.58798,-0.00120209,969.385,7.34387,7.47551,7.85376,8.54387,9.68626,11.5803,14.9345,21.8012,40.956,200.0,20.3908,10.38,7.16139,5.6026,4.72074,4.18961,3.87219,3.70447,3.65735,1.0,0.0,0.0,1
0.0144365,-0.335138,7.97307,-1.24709E-4,1016.44,7.34399,7.47575,7.85395,8.54398,9.68639,11.5804,14.9342,21.8003,40.9544,200.0,20.3929,10.3799,7.16121,5.60246,4.72045,4.18965,3.87194,3.70422,3.6571,1.0,0.0,0.0,1
0.0143994,-0.335183,8.3648,8.93774E-4,1062.97,7.34424,7.47581,7.85409,8.54413,9.68651,11.5803,14.9335,21.7973,40.9452,200.0,20.3991,10.3804,7.16125,5.60231,4.72052,4.1893,3.87173,3.70398,3.65686,1.0,0.0,0.0,1
0.0143269,-0.335249,8.76052,-7.80056E-4,1111.93,7.34473,7.47615,7.8541,8.54403,9.68605,11.5798,14.9319,21.7926,40.9293,200.0,20.4091,10.382,7.16148,5.60251,4.72047,4.18915,3.87147,3.70361,3.65649,1.0,0.0,0.0,1
0.0143459,-0.335338,9.1847,-6.17011E-4,1154.87,7.34509,7.4767,7.85483,8.54466,9.68719,11.5805,14.9332,21.7934,40.9331,200.0,20.4064,10.38,7.1601,5.60143,4.71958,4.18851,3.87122,3.70325,3.65601,1.0,0.0,0.0,1
0.0143011,-0.335449,9.56459,-0.00251751,1201.83,7.3457,7.47733,7.85548,8.54513,9.6875,11.5811,14.933,21.7908,40.9259,200.0,20.4113,10.3796,7.15967,5.60074,4.71877,4.18788,3.8703,3.70264,3.6554,1.0,0.0,0.0,1
