angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0115774,-0.333363,-0.00693525,-0.0411504,942.478,7.33398,7.46167,7.83495,8.51831,9.65039,11.526,14.8431,21.6191,40.3356,200.0,20.7768,10.487,7.215,5.63608,4.74434,4.20748,3.88623,3.71582,3.66675,0.1,0.0,0.0,1
0.0116327,-0.333363,-0.00716973,-0.0433292,942.478,7.33398,7.46179,7.83518,8.51847,9.65056,11.5268,14.8449,21.6221,40.3469,200.0,20.7693,10.4852,7.21419,5.63558,4.74428,4.20722,3.88623,3.7157,3.66675,0.2,0.0,0.0,1
0.0116857,-0.333363,-0.00718994,-0.0415542,942.478,7.33398,7.46191,7.83546,8.51889,9.65113,11.5274,14.8464,21.6253,40.3571,200.0,20.7625,10.4836,7.21349,5.63526,4.74397,4.20719,3.88611,3.7157,3.66675,0.30000000000000004,0.0,0.0,1
0.011802,-0.333363,0.0804128,-0.00585174,942.478,7.33398,7.46204,7.83572,8.51967,9.65211,11.5293,14.8492,21.632,40.3808,200.0,20.7486,10.4804,7.21201,5.63451,4.74339,4.20684,3.88586,3.7157,3.66675,0.4,0.0,0.0,1
0.0119398,-0.333363,0.134168,-0.0426145,942.478,7.33398,7.46228,7.83611,8.5203,9.65339,11.531,14.8526,21.6398,40.4087,200.0,20.7311,10.4764,7.21026,5.63343,4.74292,4.2068,3.88574,3.7157,3.66675,0.5,0.0,0.0,1
0.0119613,-0.333363,0.386758,-0.0132102,942.478,7.33411,7.46228,7.83627,8.52036,9.65333,11.5312,14.8529,21.6412,40.4137,200.0,20.7289,10.4755,7.21009,5.63337,4.74292,4.20641,3.88562,3.71558,3.66675,0.6,0.0,0.0,1
0.0120404,-0.333385,0.497125,-0.00873747,942.478,7.33411,7.46252,7.83655,8.5208,9.65439,11.5325,14.8554,21.6461,40.4303,200.0,20.7178,10.4734,7.20922,5.63285,4.7423,4.2062,3.8855,3.71545,3.66663,0.7,0.0,0.0,1
0.0119274,-0.333407,0.673515,-0.00542772,942.478,7.33423,7.46252,7.83642,8.52047,9.65351,11.5313,14.8527,21.6397,40.4074,200.0,20.7309,10.4761,7.20992,5.63325,4.74254,4.20631,3.8855,3.71545,3.66663,0.7999999999999999,0.0,0.0,1
0.0119332,-0.333452,0.900535,-0.0127536,942.478,7.33459,7.46265,7.83681,8.52089,9.65388,11.5318,14.8534,21.6407,40.4097,200.0,20.7294,10.475,7.2093,5.63289,4.74236,4.20588,3.88538,3.71521,3.66626,0.8999999999999999,0.0,0.0,1
0.0119498,-0.333474,1.23748,-0.00706788,942.478,7.33459,7.46289,7.83689,8.52107,9.65421,11.5323,14.8538,21.6421,40.4136,200.0,20.727,10.4743,7.20898,5.63263,4.74202,4.20586,3.88501,3.71497,3.66614,0.9999999999999999,0.0,0.0,1
0.0119589,-0.333518,1.46904,-0.00307465,942.478,7.33496,7.46326,7.83716,8.52144,9.6544,11.5328,14.8547,21.6427,40.4169,200.0,20.7246,10.4733,7.20833,5.63219,4.74159,4.2055,3.88489,3.71472,3.66589,1.0,0.0,0.0,1
0.0119427,-0.333585,1.88732,0.00549733,942.478,7.33521,7.4635,7.83747,8.5215,9.655,11.5329,14.8548,21.6427,40.4152,200.0,20.7256,10.4728,7.20805,5.63148,4.74125,4.2052,3.8844,3.71436,3.66553,1.0,0.0,0.0,1
0.0119851,-0.333651,2.22099,-0.00735133,942.478,7.33557,7.46399,7.8381,8.52232,9.65585,11.5342,14.8567,21.6461,40.425,200.0,20.7193,10.4704,7.20641,5.63075,4.74058,4.20455,3.88403,3.71399,3.66528,1.0,0.0,0.0,1
0.0119498,-0.333718,2.56514,0.00380315,942.478,7.33594,7.46423,7.8384,8.52244,9.65593,11.5343,14.8565,21.645,40.419,200.0,20.7209,10.4708,7.2063,5.63048,4.74035,4.20415,3.88367,3.71362,3.66479,1.0,0.0,0.0,1
0.0119484,-0.333829,2.90723,-0.00273058,942.478,7.33655,7.46497,7.83895,8.5231,9.65688,11.5351,14.8578,21.6467,40.4215,200.0,20.7175,10.4689,7.20502,5.6296,4.7393,4.20369,3.88293,3.71313,3.66418,1.0,0.0,0.0,1
0.0119327,-0.333918,3.24949,-1.40226E-4,942.478,7.33704,7.46545,7.83939,8.52378,9.65719,11.5354,14.858,21.6465,40.4191,200.0,20.7192,10.4684,7.20456,5.62905,4.73912,4.20323,3.88257,3.71252,3.6637,1.0,0.0,0.0,1
