angle,trackPos,speedX,speedY,rpm,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,accel,brake,steering,gear
0.0163773,-0.333363,-0.0128055,-0.0234097,942.478,7.33459,7.46851,7.84925,8.54272,9.69003,11.5933,14.9678,21.8999,41.3333,200.0,20.1952,10.3522,7.15626,5.60445,4.72566,4.19611,3.87976,3.71301,3.66687,0.05,0.0,0.0,1
0.0163596,-0.333363,-0.012557,-0.022334,942.478,7.33459,7.46851,7.84912,8.54249,9.68992,11.593,14.9678,21.8983,41.3301,200.0,20.1969,10.3522,7.15676,5.60478,4.72584,4.19612,3.87976,3.71301,3.66699,0.1,0.0,0.0,1
0.0164269,-0.333363,-0.00429851,-0.0355623,942.478,7.33459,7.46863,7.84946,8.54275,9.6905,11.594,14.9695,21.9022,41.3449,200.0,20.1891,10.3511,7.15586,5.60424,4.72546,4.19595,3.87976,3.71301,3.66699,0.15000000000000002,0.0,0.0,1
0.0164045,-0.333363,0.0540159,-0.0173841,942.478,7.33435,7.46863,7.84927,8.54271,9.69031,11.5936,14.9689,21.9013,41.34,200.0,20.1915,10.351,7.15598,5.6042,4.72551,4.19617,3.87976,3.71289,3.66711,0.2,0.0,0.0,1
0.0161722,-0.333363,0.131381,-0.00108924,942.478,7.33447,7.46814,7.84871,8.54161,9.68844,11.5902,14.9627,21.8876,41.2892,200.0,20.2196,10.3583,7.15891,5.60596,4.72656,4.19651,3.88,3.71313,3.66699,0.25,0.0,0.0,1
0.0161403,-0.333363,0.265672,-0.0260566,942.478,7.33447,7.46814,7.8487,8.54131,9.68813,11.5897,14.9623,21.885,41.2836,200.0,20.2233,10.3594,7.15928,5.60617,4.72647,4.19658,3.88013,3.71313,3.66699,0.3,0.0,0.0,1
0.0160955,-0.333385,0.410528,0.00626811,942.478,7.33459,7.46826,7.84874,8.54126,9.68785,11.5893,14.9609,21.8827,41.2744,200.0,20.228,10.36,7.15931,5.60631,4.72662,4.19663,3.88,3.71301,3.66687,0.35,0.0,0.0,1
0.0162438,-0.333407,0.532868,-0.0127666,942.478,7.33472,7.46863,7.84912,8.54222,9.68937,11.5917,14.9653,21.8923,41.3069,200.0,20.2088,10.3549,7.15757,5.60493,4.72587,4.19614,3.87964,3.71277,3.66687,0.39999999999999997,0.0,0.0,1
0.0160726,-0.33343,0.604794,-0.00178528,942.478,7.33484,7.46851,7.84873,8.54148,9.68816,11.5894,14.9608,21.8823,41.27,200.0,20.2304,10.3595,7.15937,5.60592,4.72649,4.19654,3.87976,3.71265,3.66663,0.44999999999999996,0.0,0.0,1
0.0160678,-0.333452,0.833778,0.00682211,942.478,7.33484,7.46863,7.8488,8.54166,9.68823,11.5897,14.9612,21.8823,41.2696,200.0,20.2302,10.3591,7.15901,5.60576,4.72623,4.19646,3.87964,3.71265,3.6665,0.49999999999999994,0.0,0.0,1
0.0160845,-0.333496,1.08482,9.04244E-4,942.478,7.33521,7.46887,7.84914,8.5421,9.68861,11.5904,14.9617,21.8832,41.2747,200.0,20.226,10.3586,7.15839,5.60532,4.72595,4.19594,3.87927,3.7124,3.66614,0.5499999999999999,0.0,0.0,1
